id,predicted_price
2591820310,295296.44
7974200820,689290.44
7701450110,825176.6
9522300010,1565963.2
9510861140,584728.1
1761300310,251077.11
7732410120,569206.25
7010701383,548270.7
291310170,374136.4
4232901990,416107.22
6840701125,500517.94
3971700580,554481.25
4202400078,277177.84
6064800090,390477.72
2626119028,175193.03
3303980660,969259.25
862000020,337840.25
2386000070,1031314.7
1138000450,402583.25
1775800420,527711.4
2291401425,415286.6
2025770560,1642947.6
3525069037,582561.8
9324800450,630928.25
8080400136,506344.97
8651540040,445938.4
9407001790,214244.64
1773101530,273688.53
9432900250,260891.5
1794500695,439247.16
2220069003,173486.02
923000120,644829.9
5728000060,433201.7
16000200,223711.1
1926059094,392813.22
6672900220,413511.34
3629860060,544849.75
1822069109,403843.0
6675500105,420051.66
249000180,939130.06
226059065,538148.3
396100110,386048.5
9264450460,226270.67
7853361210,333364.03
9474700020,243954.78
421000455,282661.7
3755200220,400809.56
7960100075,418457.12
9477100490,438240.44
9138100350,517493.66
1624049275,405545.78
2770606890,521910.66
1157200189,408350.56
2770601800,509962.6
9301300805,489828.8
2325069032,787548.94
1021079099,353675.28
7215730040,664137.6
1853200080,483303.3
3224600340,482282.1
3222049120,265397.53
2113700025,291709.47
7893207925,198439.22
3586501085,606152.75
8024200010,429778.4
7116500705,167033.27
1598600209,311626.47
7204200025,394891.1
4206901505,426277.72
2937300440,794524.0
7205000180,227592.34
8718500665,475045.94
5318101765,493558.1
4122700020,486146.75
8078700020,458539.88
3303980680,680291.3
8924100372,1011529.25
2781270210,289639.0
519000043,495465.75
3225069301,2387980.2
151000075,489034.88
2297400020,517558.3
6617500085,485656.47
104510180,225324.47
3528900060,681527.7
3345100286,553754.06
1226039130,485194.47
8712100720,551520.0
3037200010,414386.56
3626039268,402101.7
104510230,218786.34
5112800060,285228.53
6072400280,431789.84
5317100570,584931.1
9528102993,457144.4
2919201095,507627.7
6181400920,240007.73
185000161,381705.94
8691400010,569472.8
3345700165,502462.03
6151800486,291720.06
4340000080,696232.7
4136960010,342570.6
3634100030,314706.53
1624059224,1460456.9
2788400090,338677.72
9828200762,399466.3
7524400250,513619.28
3528000290,603000.06
5700003630,1140605.9
2720069019,156795.6
7227501170,242319.83
2397101270,452972.2
6792100090,588535.75
2770602265,448955.3
3971700937,424436.06
422049203,200135.08
3076500830,333262.3
1423400260,301399.34
9161100795,444050.78
3126049052,483538.44
5100401468,371299.2
514500235,291211.1
1423200170,210422.8
1402100070,357932.38
624110020,857522.0
2407000145,227844.25
1890000225,545974.3
1320069271,277381.2
5490700085,416650.06
263000155,441148.03
3726800201,488966.3
5153200358,313399.78
2725079018,659194.3
7165700200,383084.06
9429000170,540155.2
8718500075,413868.78
1760650950,307151.44
